"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"TBI","TrueBlue, Inc.","22.95","974790624.15","n/a","n/a","Technology","Professional Services","http://www.nasdaq.com/symbol/tbi",
"TRUE","TrueCar, Inc.","10.81","914596265","n/a","2014","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/true",
"TSRI","TSR, Inc.","5.49","10771720.38","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/tsri",
"TTMI","TTM Technologies, Inc.","10.25","1027571991.5","n/a","2000","Technology","Electrical Products","http://www.nasdaq.com/symbol/ttmi",
"TUBE","TubeMogul, Inc.","9.52","344820835.52","n/a","2014","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/tube",
"TCX","Tucows Inc.","26.68","278071046.04","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/tcx",
"TWLO","Twilio Inc.","58.86","4977773954.64","n/a","2016","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/twlo",
"TWIN","Twin Disc, Incorporated","10.78","122354875.72","n/a","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/twin",
"TWTR","Twitter, Inc.","20.17","14274852440.31","n/a","2013","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/twtr",
"TYL","Tyler Technologies, Inc.","162.17","5893322668","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/tyl",
"UBNT","Ubiquiti Networks, Inc.","49.87","4135304381.08","n/a","2011","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/ubnt",
"UCTT","Ultra Clean Holdings, Inc.","6.55","215052043.15","n/a","2004","Technology","Semiconductors","http://www.nasdaq.com/symbol/uctt",
"UTEK","Ultratech, Inc.","25.21","674753767.62","n/a","1993","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/utek",
"UIS","Unisys Corporation","10.4","520851021.6","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/uis",
"UMC","United Microelectronics Corporation","1.9","4721190680","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/umc",
"URI","United Rentals, Inc.","77.62","6687819614.32","n/a","1997","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/uri",
"UPLD","Upland Software, Inc.","8.8","154893763.2","n/a","2014","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/upld",
"VRNS","Varonis Systems, Inc.","27.35","721761850.5","n/a","2014","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/vrns",
"VDSI","VASCO Data Security International, Inc.","17.35","697445137.45","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/vdsi",
"VECO","Veeco Instruments Inc.","20.46","831454441.62","n/a","1994","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/veco",
"VEEV","Veeva Systems Inc.","39.14","5274681590.64","n/a","2013","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/veev",
"VRNT","Verint Systems Inc.","34.5","2145831483","n/a","2002","Technology","EDP Services","http://www.nasdaq.com/symbol/vrnt",
"VRSN","VeriSign, Inc.","75.22","8030978160.94","n/a","1998","Technology","EDP Services","http://www.nasdaq.com/symbol/vrsn",
"VRSK","Verisk Analytics, Inc.","81.76","13815005105.44","n/a","2009","Technology","EDP Services","http://www.nasdaq.com/symbol/vrsk",
"VSAT","ViaSat, Inc.","74.72","3682722921.44","n/a","1996","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/vsat",
"VIAV","Viavi Solutions Inc.","7.66","1781074306.48","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/viav",
"VMEM","Violin Memory, Inc.","1.97","49317045.01","n/a","2013","Technology","Electronic Components","http://www.nasdaq.com/symbol/vmem",
"VRTU","Virtusa Corporation","21.44","640397105.92","n/a","2007","Technology","EDP Services","http://www.nasdaq.com/symbol/vrtu",
"VISN","VisionChina Media, Inc.","5.09","20169236.98","3962522","2007","Technology","Advertising","http://www.nasdaq.com/symbol/visn",
"VMW","Vmware, Inc.","70.41","29882584741.68","n/a","2007","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/vmw",
"VISI","Volt Information Sciences, Inc.","6.11","127286593.33","n/a","n/a","Technology","Professional Services","http://www.nasdaq.com/symbol/visi",
"VUZI","Vuzix Corporation","7.18","124617235.98","n/a","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/vuzi",
"WSTG","Wayside Technology Group, Inc.","18.26","86466486.7","n/a","n/a","Technology","Retail: Computer Software & Peripheral Equipment","http://www.nasdaq.com/symbol/wstg",
"WEB","Web.com Group, Inc.","17.27","872256459.91","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/web",
"WB","Weibo Corporation","43.71","2065341909.36","47251016","2014","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/wb",
"WDC","Western Digital Corporation","44.73","10421943061.95","n/a","n/a","Technology","Electronic Components","http://www.nasdaq.com/symbol/wdc",
"WYY","WidePoint Corporation","0.5","41365067","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/wyy",
